"当地时间 北京";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"22.05.2017 14:00";"16.5";"757.3";"760.2";"3.7";"92";"从东北方吹来的风";"3";"";"";"100%.";"间歇性雨，不冻，在观测时较弱 ";"雨";"在整个相应周期内云遮住了一半或以下的天空";"16.1";"";"";"100%.";"600-1000";"";"";"7.0";"15.2";"27.0";"6";"";"";"";"";
"22.05.2017 11:00";"16.9";"753.6";"759.7";"-1.7";"94";"从东北偏北方向吹来的风";"3";"";"";"100%.";"间歇性雨，不冻，在观测时较弱 ";"雨";"在整个相应周期内云遮住了一半或以下的天空";"";"";"";"100%.";"200-300";"";"";"2.1";"15.9";"";"";"";"";"";"";
"22.05.2017 08:00";"17.9";"755.3";"758.2";"3.8";"85";"从东北偏东方向吹来的风";"3";"";"";"100%.";"间歇性雨，不冻，在观测时较弱 ";"";"";"";"";"";"100%.";"1000-1500";"";"";"2.2";"15.3";"降水迹象";"12";"";"";"";"";
"22.05.2017 05:00";"19.5";"751.5";"757.5";"-3.4";"66";"从东南偏东方向吹来的风";"3";"";"";"由于雾和/或其他气象现象，天空不可见。";"霾 ";"";"";"";"";"";"";"600-1000";"";"";"6.0";"13.0";"";"";"";"";"";"";
"22.05.2017 02:00";"20.6";"754.9";"757.7";"2.1";"57";"从东北偏东方向吹来的风";"2";"";"";"由于雾和/或其他气象现象，天空不可见。";" ";"";"";"";"28.8";"";"";"2000-2500";"";"";"12.0";"11.8";"";"";"";"";"";"";
"21.05.2017 23:00";"21.4";"752.8";"758.8";"-1.8";"67";"从东南偏东方向吹来的风";"2";"";"";"由于雾和/或其他气象现象，天空不可见。";"霾 ";"";"";"";"";"";"";"";"";"";"";"15.0";"";"";"";"";"";"";
"21.05.2017 20:00";"22.8";"754.6";"757.5";"4.7";"62";"从东南偏东方向吹来的风";"4";"";"";"90  或者更多，但不为100%";"霾 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"";"";"";"90  或者更多，但不为100%";"2500或更高，或无云。";"";"";"6.0";"15.1";"";"";"";"";"";"";
"21.05.2017 17:00";"27.3";"749.9";"755.7";"-4.1";"40";"从东南方吹来的风";"4";"";"";"90  或者更多，但不为100%";" ";"";"";"";"";"";"90  或者更多，但不为100%";"2500或更高，或无云。";"";"";"16.0";"12.5";"";"";"";"";"";"";
"21.05.2017 14:00";"27.5";"754.0";"756.7";"1.7";"38";"从东南方吹来的风";"3";"";"";"90  或者更多，但不为100%";" ";"";"";"19.8";"";"";"90  或者更多，但不为100%";"2500或更高，或无云。";"";"";"11.0";"11.9";"";"";"";"";"";"";
"21.05.2017 11:00";"26.0";"752.3";"758.2";"-3.7";"54";"从东南方吹来的风";"3";"";"";"90  或者更多，但不为100%";"霾 ";"在整个相应周期内云遮住了一半或以下的天空";"在整个相应周期内云遮住了一半或以下的天空";"";"";"";"90  或者更多，但不为100%";"2500或更高，或无云。";"";"";"6.0";"16.0";"";"";"";"";"";"";
"21.05.2017 08:00";"21.6";"756.0";"758.8";"4.2";"67";"从东南偏东方向吹来的风";"2";"";"";"90  或者更多，但不为100%";"霾 ";"";"";"";"";"";"90  或者更多，但不为100%";"2000-2500";"";"";"";"15.2";"";"";"";"";"";"";
"21.05.2017 05:00";"19.9";"751.8";"757.8";"-2.5";"64";"从东北偏东方向吹来的风";"3";"";"";"由于雾和/或其他气象现象，天空不可见。";"霾 ";"";"";"";"";"";"";"";"";"";"6.0";"12.9";"";"";"";"";"";"";
"21.05.2017 02:00";"22.8";"754.3";"757.1";"3.2";"58";"从东方吹来的风";"4";"";"";"由于雾和/或其他气象现象，天空不可见。";" ";"";"";"";"35.1";"";"";"";"";"";"11.0";"14.1";"";"";"";"";"";"";
"20.05.2017 23:00";"26.3";"751.1";"756.9";"-1.7";"52";"从东南偏东方向吹来的风";"3";"";"";"由于雾和/或其他气象现象，天空不可见。";" ";"";"";"";"";"";"";"2500或更高，或无云。";"";"";"10.0";"15.7";"";"";"";"";"";"";
"20.05.2017 20:00";"28.9";"752.8";"755.6";"3.6";"39";"从东南方吹来的风";"3";"";"";"90  或者更多，但不为100%";"云量发展情况没有进行观测或无法观测。 ";"阵性";"在整个相应周期内云遮住了一半或以下的天空";"";"";"";"90  或者更多，但不为100%";"1000-1500";"";"";"13.0";"13.6";"0.7";"6";"";"";"";"";
